matname,bandgap,totd,fom
mp-1205877_CsTlO,2.6455999999999995,11.218411666666668,29.679429905333333
mp-1206097_Ba2ZnMoO6,3.3137999999999996,33.496085,110.999326473
mp-1206230_RbTlO,2.3529,10.234491666666665,24.080735442499996
mp-1206644_Ba2ScNbO6,4.190099999999999,49.894092,209.06123488919997
mp-1206880_Li2HgO2,2.4527,15.763140666666667,38.662255113133334
mp-1207646_YTl(WO4)2,3.9735000000000005,19.074275,75.7916317125
mp-1207861_VCd2BiO6,3.6100999999999996,16.064047,57.99281607469999
mp-1208033_TlPt3O4,1.9668,23.003936,45.244141324800005
mp-1208096_TlBi(WO4)2,3.5336,34.46485233333333,121.78500220506666
mp-1208760_Sr2ScNbO6,4.689,40.07045766666667,187.890375999
mp-1208776_Sr2ScTaO6,5.3619,32.750154,175.60305073260002
mp-1208777_Sr3NbGa3(SiO7)2,6.1802,15.469526,95.6047645852
mp-1209097_RbTa(BO3)2,6.206300000000001,13.139694,81.54888287220001
mp-1209133_RbY(WO4)2,5.2105,13.913815666666666,72.49793653116666
mp-1209180_RbSc(MoO4)2,5.9744,8.471568333333332,50.61253785066666
mp-1209239_RbSc(WO4)2,4.5207,19.663698666666665,88.89368256239999
mp-1209248_RbAl(MoO4)2,6.3946000000000005,6.6457880000000005,42.49715594480001
mp-1209286_Rb6CdO4,3.6271,11.501804666666667,41.718195706466666
mp-1209350_Rb3YV2O8,5.8587,13.244814333333332,77.59739373469999
mp-1209478_Rb2Li3GaO4,6.7627999999999995,12.497163666666667,84.51581844493333
mp-1209489_Rb2Pb2O3,2.8664,9.561226999999999,27.406301072799998
mp-1209499_Rb2Cd2O3,2.1318,15.827157666666666,33.7403347138
mp-1210092_NaBi(MoO4)2,3.5453,29.650549666666667,105.12009373323333
mp-1210161_NaSc(WO4)2,5.0325,13.537553,68.1277354725
mp-1210286_Na2ReO3,3.7100999999999997,6.750958333333333,25.046730512499998
